Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_218.jpg;-4.496531;1;0;3.038943;94.56705;81.63602;1.366116;207.5246;0.0005251133
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_284.jpg;-7.499789;1;0;3.077514;94.40047;81.55432;1.365874;206.6896;-0.0007921534
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_351.jpg;-10.51006;1;0;3.129991;94.23017;81.47606;1.339787;205.4561;359.9504
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_418.jpg;-13.51013;1;0;3.165936;93.99804;81.37969;1.196118;203.1224;359.8167
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_484.jpg;-10.5224;1;0;3.203266;93.82043;81.31252;1.017219;201.3187;359.6911
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_551.jpg;-7.533049;1;0;3.25806;93.63933;81.24848;0.8287583;199.8363;359.5401
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_618.jpg;-4.501938;1;0;3.298241;93.39295;81.16532;0.5908223;198.4867;359.3565
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_684.jpg;-1.504848;1;0;3.337974;93.2047;81.1032;0.4352496;197.9415;359.2629
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_752.jpg;0;1;0;3.390684;93.01331;81.04031;0.32521;197.7648;359.2105
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_818.jpg;0;1;0;3.428874;92.75277;80.95556;0.2770753;197.7257;359.1742
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_885.jpg;0;1;0;3.467013;92.55385;80.89095;0.2983764;197.7359;359.1876
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_951.jpg;0;1;0;3.518193;92.3521;80.82549;0.3572297;197.749;359.2372
